ping 4170 
 loc 15.957991 146.034028
 Tx roll -1.054242  pitch 2.045459 heave -0.542000 heading 215.529534
1970 time 1304827266.555000
YMD time  2011 128 Sun May 8 04:01:06 0.555
 Transmit sector  0
----- tilt_angle        - -1.910000
----- focus_range       - 146.700000
----- signal_length     - 0.000300
----- tx_time_offset    - 0.000400
----- center_frequency  - 73000.000000
----- mean_absorp_coeff - 2036
----- waveform_id       - 0
----- sector_id         - 0
----- signal_bandwidth  - 5000.000000
 Transmit sector  1
----- tilt_angle        - -2.910000
----- focus_range       - 101.100000
----- signal_length     - 0.000300
----- tx_time_offset    - 0.000000
----- center_frequency  - 89000.000000
----- mean_absorp_coeff - 2856
----- waveform_id       - 0
----- sector_id         - 1
----- signal_bandwidth  - 5000.000000
 Transmit sector  2
----- tilt_angle        - -1.910000
----- focus_range       - 146.400000
----- signal_length     - 0.000300
----- tx_time_offset    - 0.000800
----- center_frequency  - 73000.000000
----- mean_absorp_coeff - 2036
----- waveform_id       - 0
----- sector_id         - 2
----- signal_bandwidth  - 5000.000000
 beam    across    along    depth  samp#  TWTTsec    SLR  RxStr sc# TxStr  shotdelat cenFQ
   0    -160.10    15.12   -97.92   3300 0.237615  356.4  61.45   0 -1.91  0.000400  73000 
   1    -159.15    15.14   -97.84   3285 0.236535  354.8  61.32   0 -1.91  0.000400  73000 
   2    -158.47    15.17   -97.87   3274 0.235743  353.6  61.20   0 -1.91  0.000400  73000 
   3    -157.70    15.18   -97.89   3263 0.234951  352.4  61.07   0 -1.91  0.000400  73000 
   4    -156.87    15.21   -97.86   3250 0.234015  351.0  60.94   0 -1.91  0.000400  73000 
   5    -156.15    15.23   -97.87   3238 0.233151  349.7  60.82   0 -1.91  0.000400  73000 
   6    -155.22    15.26   -97.78   3223 0.232071  348.1  60.69   0 -1.91  0.000400  73000 
   7    -154.58    15.28   -97.86   3214 0.231423  347.1  60.56   0 -1.91  0.000400  73000 
   8    -153.86    15.30   -97.93   3204 0.230703  346.1  60.42   0 -1.91  0.000400  73000 
   9    -153.00    15.33   -97.86   3190 0.229695  344.5  60.29   0 -1.91  0.000400  73000 
  10    -152.17    15.35   -97.82   3176 0.228687  343.0  60.16   0 -1.91  0.000400  73000 
  11    -151.36    15.38   -97.90   3165 0.227895  341.8  60.00   0 -1.91  0.000400  73000 
  12    -150.46    15.40   -97.80   3150 0.226815  340.2  59.87   0 -1.91  0.000400  73000 
  13    -149.70    15.42   -97.82   3139 0.226022  339.0  59.73   0 -1.91  0.000400  73000 
  14    -148.99    15.45   -97.88   3128 0.225230  337.8  59.59   0 -1.91  0.000400  73000 
  15    -148.19    15.47   -97.87   3116 0.224366  336.5  59.45   0 -1.91  0.000400  73000 
  16    -147.54    15.49   -97.95   3107 0.223718  335.6  59.31   0 -1.91  0.000400  73000 
  17    -146.82    15.51   -97.98   3096 0.222926  334.4  59.17   0 -1.91  0.000400  73000 
  18    -145.84    15.54   -97.85   3080 0.221774  332.7  59.03   0 -1.91  0.000400  73000 
  19    -145.00    15.56   -97.79   3067 0.220838  331.3  58.89   0 -1.91  0.000400  73000 
  20    -144.09    15.58   -97.73   3052 0.219758  329.6  58.74   0 -1.91  0.000400  73000 
  21    -143.53    15.61   -97.86   3045 0.219254  328.9  58.60   0 -1.91  0.000400  73000 
  22    -142.63    15.63   -97.79   3031 0.218246  327.4  58.45   0 -1.91  0.000400  73000 
  23    -141.69    15.66   -97.79   3017 0.217238  325.9  58.27   0 -1.91  0.000400  73000 
  24    -140.94    15.68   -97.82   3006 0.216446  324.7  58.12   0 -1.91  0.000400  73000 
  25    -140.14    15.70   -97.80   2993 0.215510  323.3  57.97   0 -1.91  0.000400  73000 
  26    -139.35    15.73   -97.79   2982 0.214718  322.1  57.82   0 -1.91  0.000400  73000 
  27    -138.67    15.74   -97.84   2972 0.213998  321.0  57.67   0 -1.91  0.000400  73000 
  28    -137.84    15.77   -97.83   2959 0.213062  319.6  57.51   0 -1.91  0.000400  73000 
  29    -136.99    15.79   -97.76   2946 0.212126  318.2  57.36   0 -1.91  0.000400  73000 
  30    -136.25    15.82   -97.79   2935 0.211334  317.0  57.20   0 -1.91  0.000400  73000 
  31    -135.51    15.84   -97.83   2925 0.210613  315.9  57.04   0 -1.91  0.000400  73000 
  32    -134.73    15.86   -97.82   2913 0.209749  314.6  56.88   0 -1.91  0.000400  73000 
  33    -133.75    15.88   -97.68   2897 0.208597  312.9  56.72   0 -1.91  0.000400  73000 
  34    -133.00    15.90   -97.76   2887 0.207877  311.8  56.54   0 -1.91  0.000400  73000 
  35    -132.36    15.93   -97.86   2878 0.207229  310.8  56.38   0 -1.91  0.000400  73000 
  36    -131.62    15.95   -97.86   2867 0.206437  309.7  56.22   0 -1.91  0.000400  73000 
  37    -130.71    15.98   -97.78   2853 0.205429  308.1  56.05   0 -1.91  0.000400  73000 
  38    -129.97    15.99   -97.82   2843 0.204709  307.1  55.88   0 -1.91  0.000400  73000 
  39    -129.05    16.02   -97.73   2828 0.203629  305.4  55.71   0 -1.91  0.000400  73000 
